from,to,weight
CD:198783,CP:2226588,0.25
CD:73801,CP:2226591,0.25
CD:204388,CP:2226619,0.25
CD:211866,CP:2226699,0.0
CD:204573,CP:2226717,0.5
CD:73441,CP:2226753,0.25
CO:78,CP:2226781,0.75
CD:204419,CP:2226885,0.25
CD:204520,CP:2227038,0.25
CD:74400,CP:2227076,0.25
CD:141470,CP:2227140,0.25
CD:204527,CP:2227429,0.25
CD:204441,CP:2227430,0.25
CD:69871,CP:2227433,0.25
CD:133810,CP:2227626,0.25
CD:204446,CP:2227639,0.25
CD:160592,CP:2227685,0.25
CD:141401,CP:2227702,0.0
CD:178835,CP:2227732,0.0
CD:178835,CP:2227739,0.25
CD:204472,CP:2227753,0.25
CD:178925,CP:2227803,0.25
CD:141421,CP:2227809,0.25
CD:204421,CP:2227863,0.25
CD:204421,CP:2227865,0.25
CD:204433,CP:2227917,0.5
CD:74052,CP:2228013,0.25
CD:178993,CP:2228132,0.0
CD:204416,CP:2228146,0.25
CD:74356,CP:2228151,1.0
CD:204559,CP:2228219,0.0
CD:204397,CP:2228253,0.25
CD:204547,CP:2228335,0.0
CD:204547,CP:2228343,0.0
CO:78,CP:2228665,1.0
CO:253,CP:2228675,0.75
CD:204399,CP:2228681,0.25
CD:73441,CP:2228688,0.25
CD:160518,CP:2228695,0.0
CD:204464,CP:2228710,0.25
CD:178984,CP:2228836,0.25
CD:204513,CP:2228846,0.25
CD:204455,CP:2228948,0.0
CO:81,CP:2228978,1.0
CO:253,CP:2229043,1.0
CD:204464,CP:2229089,0.25
CD:204436,CP:2229100,0.25
CO:78,CP:2229140,0.75
CO:78,CP:2229141,1.0
CD:204365,CP:2229193,0.25
CD:204556,CP:2229222,0.25
CO:253,CP:2229306,0.75
CO:253,CP:2229308,0.75
CD:164360,CP:2229379,0.25
CD:204435,CP:2229382,0.25
CD:178922,CP:2229410,0.0
CD:204460,CP:2229419,0.25
CD:74585,CP:2229482,0.25
CD:204371,CP:2229489,0.25
CO:81,CP:2229504,1.0
CO:78,CP:2229541,0.75
CO:78,CP:2229549,0.75
CO:78,CP:2229557,0.75
CO:78,CP:2229558,0.75
CO:78,CP:2229706,0.75
CO:78,CP:2229708,0.75
CD:74158,CP:2229723,0.25
CO:78,CP:2229725,0.75
CD:146307,CP:2229763,0.25
CD:204365,CP:2229815,0.0
CD:178925,CP:2229910,0.25
CD:178972,CP:2229938,0.25
CD:160632,CP:2229942,0.25
CO:253,CP:2229968,1.0
CD:204520,CP:2230006,0.0
CD:74043,CP:2230007,0.25
CD:74043,CP:2230008,0.25
CO:78,CP:2230022,0.75
CD:160570,CP:2230136,0.25
CD:160570,CP:2230140,0.0
CD:160570,CP:2230142,0.25
CD:160570,CP:2230143,0.25
CD:160570,CP:2230145,0.25
CD:160570,CP:2230147,0.25
CD:160570,CP:2230151,0.25
CD:160570,CP:2230154,0.25
CD:160570,CP:2230155,0.25
CD:160570,CP:2230159,0.25
CD:160570,CP:2230161,0.25
CD:178970,CP:2230197,0.25
CD:164359,CP:2230205,0.25
CD:178912,CP:2230234,0.0
CD:178948,CP:2230256,0.25
CD:204530,CP:2230347,0.25
CD:204416,CP:2230419,0.25
CD:141470,CP:2230504,0.25
CD:204377,CP:2230531,0.25
CD:204514,CP:2230542,0.0
CD:204421,CP:2230592,0.25
CD:204544,CP:2230594,0.25
CD:204524,CP:2230620,0.25
CO:253,CP:2230638,0.0
CO:253,CP:2230641,0.0
CO:253,CP:2230646,0.0
CO:253,CP:2230650,0.0
CD:74161,CP:2230666,0.25
CD:72442,CP:2230710,0.25
CD:204514,CP:2230809,0.25
CO:253,CP:2230815,1.0
CD:160632,CP:2230831,0.25
CD:204539,CP:2230871,0.25
CD:204535,CP:2230964,0.25
CD:178933,CP:2231069,0.25
CD:178956,CP:2231073,0.25
CD:204419,CP:2231078,0.25
CD:141401,CP:2231085,0.0
CD:74356,CP:2231295,0.25
CO:253,CP:2231391,0.75
CD:133439,CP:2231435,0.25
CD:204467,CP:2231528,0.25
CD:204411,CP:2231578,0.0
CD:204411,CP:2231579,0.25
CD:204466,CP:2231618,0.25
CD:90201,CP:2231632,0.5
CD:204531,CP:2231646,0.0
CD:204453,CP:2231685,0.25
CD:204566,CP:2231728,0.25
CD:204566,CP:2231730,0.25
CD:204500,CP:2231773,0.25
CD:160604,CP:2231783,0.25
CD:66179,CP:2231833,0.25
CD:66179,CP:2231834,0.25
CD:204548,CP:2231836,0.25
CD:204416,CP:2231849,0.25
CD:204416,CP:2231851,1.0
CD:204566,CP:2231929,0.25
CD:204383,CP:2231993,0.25
CD:204472,CP:2231996,0.25
CD:178993,CP:2231998,1.0
CD:74075,CP:2232122,1.0
CD:73486,CP:2232220,0.25
CD:160642,CP:2232230,0.25
CD:211866,CP:2232236,0.25
CD:211866,CP:2232237,0.25
CD:160642,CP:2232440,0.25
CD:204477,CP:2232458,0.25
CD:194260,CP:2232524,0.25
CO:5438,CP:2232528,0.25
CO:5438,CP:2232529,0.25
CD:204439,CP:2232949,0.25
CD:204439,CP:2232950,0.0
CD:204381,CP:2232957,0.25
CD:204381,CP:2232960,0.25
CD:204381,CP:2232961,0.25
CD:204541,CP:2233068,0.25
CO:253,CP:2233070,1.0
CD:204416,CP:2233082,0.0
CD:204416,CP:2233087,0.25
CD:204571,CP:2233098,0.25
CD:204381,CP:2233134,0.25
CD:204381,CP:2233135,0.25
CD:204381,CP:2233137,0.25
CD:205548,CP:2233138,0.25
CD:205476,CP:2233140,0.25
CD:178933,CP:2233179,0.25
CD:74044,CP:2233185,0.25
CD:178954,CP:2233209,0.25
CD:178954,CP:2233210,0.25
CD:205535,CP:2233221,0.25
CD:74419,CP:2233319,0.25
CD:178952,CP:2233339,0.25
CD:204406,CP:2233345,0.0
CD:204487,CP:2233352,0.0
CD:67138,CP:2233356,0.25
CD:204399,CP:2233362,0.25
CD:141421,CP:2233376,0.25
CD:204478,CP:2233389,0.25
CD:90201,CP:2233391,0.25
CD:198783,CP:2233392,0.25
CD:204428,CP:2233401,1.0
CD:74043,CP:2233451,0.25
CO:78,CP:2233453,0.75
CO:78,CP:2233458,0.75
CO:78,CP:2233465,0.75
CO:78,CP:2233470,0.75
CO:253,CP:2233488,0.75
CO:253,CP:2233489,0.75
CD:121948,CP:2233490,0.25
CD:204464,CP:2233496,0.0
CD:205476,CP:2233505,0.25
CD:205476,CP:2233506,0.0
CD:178948,CP:2233585,0.25
CD:73696,CP:2233640,0.25
CD:179587,CP:2233642,0.25
CD:204388,CP:2233659,0.25
CD:204491,CP:2233710,0.25
CD:66179,CP:2233724,0.25
CD:178920,CP:2233785,0.25
CD:178994,CP:2233788,0.25
CD:74161,CP:2233801,0.25
CD:204393,CP:2233806,0.0
CD:162332,CP:2233829,0.25
CD:205863,CP:2233842,0.25
CD:73604,CP:2233843,0.25
CD:204570,CP:2233846,0.0
CD:160570,CP:2233848,0.0
CD:160570,CP:2233849,0.25
CD:74052,CP:2233851,0.25
CD:204430,CP:2233852,0.0
CD:204404,CP:2233853,0.25
CD:141421,CP:2233857,0.25
CD:204461,CP:2233866,0.25
CD:204531,CP:2233869,0.0
CD:73531,CP:2233879,0.25
CD:178910,CP:2233895,0.25
CD:205535,CP:2233950,0.25
CD:205535,CP:2233951,0.25
CD:204392,CP:2233959,0.25
CO:253,CP:2233986,0.25
CD:204469,CP:2234037,0.25
CD:204372,CP:2234090,0.0
CD:204372,CP:2234092,0.25
CD:204416,CP:2234124,0.25
CD:204421,CP:2234133,0.25
CD:204421,CP:2234139,0.25
CD:73486,CP:2234140,0.25
CD:143632,CP:2234141,0.25
CD:205535,CP:2234163,0.25
CD:204421,CP:2234179,0.25
CD:204421,CP:2234180,0.25
CD:204421,CP:2234184,0.25
CD:204526,CP:2234232,0.25
CD:204526,CP:2234233,0.25
CD:204555,CP:2234336,0.0
CD:74305,CP:2234339,0.25
CD:74305,CP:2234341,0.25
CD:204419,CP:2234343,0.0
CD:204541,CP:2234364,0.25
CD:139285,CP:2234368,0.0
CD:178970,CP:2234380,0.25
CD:178970,CP:2234382,0.0
CD:204404,CP:2234427,0.25
CD:204547,CP:2234440,0.0
CD:204559,CP:2234441,0.25
CD:178843,CP:2234448,0.0
CD:160666,CP:2234451,0.25
CD:178839,CP:2234452,0.25
CD:178871,CP:2234453,1.0
CD:75431,CP:2234470,0.25
CD:204414,CP:2234475,0.0
CD:204416,CP:2234476,0.25
CD:204416,CP:2234477,0.25
CD:116379,CP:2234516,0.25
CD:204527,CP:2234555,1.0
CD:204527,CP:2234556,0.25
CD:204527,CP:2234557,0.25
CD:204359,CP:2234572,0.25
CD:204359,CP:2234574,0.25
CD:69871,CP:2234582,0.25
CD:204566,CP:2234583,0.25
CD:204566,CP:2234584,0.25
CD:72442,CP:2234585,0.0
