name,label,partido,type,score,bigtype,billtype,cod_partido,uf
CP:2199506,PL 2553/2019,,Proposicao,0.25,bill,PL,,
CP:2199539,PL 2565/2019,,Proposicao,0.25,bill,PL,,
CP:2199549,PL 2570/2019,,Proposicao,0.0,bill,PL,,
CP:2199642,PL 2583/2019,,Proposicao,0.0,bill,PL,,
CP:2199690,PL 2591/2019,,Proposicao,0.25,bill,PL,,
CP:2199734,PL 2596/2019,,Proposicao,0.25,bill,PL,,
CP:2199978,PL 2608/2019,,Proposicao,0.25,bill,PL,,
CP:2199980,PL 2609/2019,,Proposicao,0.25,bill,PL,,
CP:2200333,PL 2647/2019,,Proposicao,0.25,bill,PL,,
CP:2200388,PL 2653/2019,,Proposicao,0.0,bill,PL,,
CP:2200404,PL 2659/2019,,Proposicao,0.25,bill,PL,,
CP:2200425,PL 2668/2019,,Proposicao,0.25,bill,PL,,
CP:2200537,PL 2686/2019,,Proposicao,0.25,bill,PL,,
CP:2200600,PL 2699/2019,,Proposicao,0.25,bill,PL,,
CP:2200658,PL 2721/2019,,Proposicao,0.5,bill,PL,,
CP:2200680,PL 2723/2019,,Proposicao,0.0,bill,PL,,
CP:2200688,PL 2728/2019,,Proposicao,0.25,bill,PL,,
CP:2200777,PL 2741/2019,,Proposicao,0.25,bill,PL,,
CP:2200836,PL 2762/2019,,Proposicao,0.25,bill,PL,,
CP:2201469,PL 2776/2019,,Proposicao,0.25,bill,PL,,
CP:2201533,PL 2789/2019,,Proposicao,0.25,bill,PL,,
CP:2201751,PL 2801/2019,,Proposicao,0.25,bill,PL,,
CP:2201752,PL 2802/2019,,Proposicao,0.25,bill,PL,,
CP:2201753,PL 2803/2019,,Proposicao,0.25,bill,PL,,
CP:2201912,PL 2815/2019,,Proposicao,0.25,bill,PL,,
CP:2203087,PL 2839/2019,,Proposicao,1.0,bill,PL,,
CP:2203096,PL 2844/2019,,Proposicao,0.25,bill,PL,,
CP:2203111,PL 2846/2019,,Proposicao,0.25,bill,PL,,
CP:2203208,PL 2875/2019,,Proposicao,0.5,bill,PL,,
CP:2203477,PL 2911/2019,,Proposicao,0.0,bill,PL,,
CP:2203509,PL 2915/2019,,Proposicao,0.0,bill,PL,,
CP:2203596,PLP 133/2019,,Proposicao,0.25,bill,PLP,,
CP:2203624,PL 2928/2019,,Proposicao,0.25,bill,PL,,
CP:2203913,PL 2955/2019,,Proposicao,0.25,bill,PL,,
CP:2203942,PL 2962/2019,,Proposicao,0.0,bill,PL,,
CP:2204011,PL 2981/2019,,Proposicao,0.25,bill,PL,,
CP:2204065,PL 3003/2019,,Proposicao,0.25,bill,PL,,
CP:2204108,PL 3014/2019,,Proposicao,0.0,bill,PL,,
CP:2204121,PL 3020/2019,,Proposicao,0.25,bill,PL,,
CP:2204132,PL 3025/2019,,Proposicao,0.25,bill,PL,,
CP:2204202,PL 3042/2019,,Proposicao,0.0,bill,PL,,
CP:2204214,PL 3044/2019,,Proposicao,0.25,bill,PL,,
CP:2204230,PL 3047/2019,,Proposicao,0.25,bill,PL,,
CP:2204328,PL 3062/2019,,Proposicao,0.0,bill,PL,,
CP:2204333,PL 3065/2019,,Proposicao,0.25,bill,PL,,
CP:2204350,PL 3069/2019,,Proposicao,0.25,bill,PL,,
CP:2204438,PL 3079/2019,,Proposicao,0.25,bill,PL,,
CP:2204484,PL 3095/2019,,Proposicao,0.25,bill,PL,,
CP:2204557,PL 3106/2019,,Proposicao,0.25,bill,PL,,
CP:2204637,PL 3119/2019,,Proposicao,0.25,bill,PL,,
CP:2204702,PL 3125/2019,,Proposicao,0.25,bill,PL,,
CP:2205203,PL 3162/2019,,Proposicao,0.25,bill,PL,,
CP:2205216,PL 3163/2019,,Proposicao,0.25,bill,PL,,
CP:2205218,PL 3164/2019,,Proposicao,0.0,bill,PL,,
CP:2205433,PL 3206/2019,,Proposicao,0.25,bill,PL,,
CP:2205521,PL 3226/2019,,Proposicao,0.25,bill,PL,,
CP:2205538,PL 3227/2019,,Proposicao,0.25,bill,PL,,
CP:2205559,PL 3229/2019,,Proposicao,0.25,bill,PL,,
CP:2205645,PLP 146/2019,,Proposicao,1.0,bill,PLP,,
CP:2206168,PL 3262/2019,,Proposicao,0.25,bill,PL,,
CP:2206203,PL 3267/2019,,Proposicao,1.0,bill,PL,,
CP:2206252,PLP 148/2019,,Proposicao,0.25,bill,PLP,,
CP:2206294,PL 3274/2019,,Proposicao,0.0,bill,PL,,
CP:2206389,PL 3290/2019,,Proposicao,0.0,bill,PL,,
CP:2206395,PLP 149/2019,,Proposicao,0.75,bill,PLP,,
CP:2206440,PL 3305/2019,,Proposicao,0.25,bill,PL,,
CP:2206510,PL 3319/2019,,Proposicao,0.25,bill,PL,,
CP:2206592,PL 3323/2019,,Proposicao,0.0,bill,PL,,
CP:2207066,PL 3387/2019,,Proposicao,0.25,bill,PL,,
CP:2207075,PL 3389/2019,,Proposicao,0.25,bill,PL,,
CP:2207082,PL 3391/2019,,Proposicao,0.25,bill,PL,,
CP:2207458,PL 3432/2019,,Proposicao,0.25,bill,PL,,
