source,target,etype
CD:74044,CP:2214373,autoria
CD:204520,CP:2214410,autoria
CD:204532,CP:2214421,autoria
CD:204466,CP:2214425,autoria
CD:178956,CP:2214544,autoria
CD:204570,CP:2214679,autoria
CD:204385,CP:2214693,autoria
CD:74356,CP:2214932,autoria
CD:204566,CP:2214947,autoria
CD:74585,CP:2215040,autoria
CD:204368,CP:2215120,autoria
CD:178842,CP:2215287,autoria
CD:141459,CP:2215296,autoria
CD:204431,CP:2215300,autoria
CD:204472,CP:2215307,autoria
CD:204514,CP:2215656,autoria
CD:67138,CP:2215677,autoria
CD:204488,CP:2215682,autoria
CD:204572,CP:2215702,autoria
CD:204511,CP:2215740,autoria
CD:204381,CP:2215866,autoria
CD:204416,CP:2215875,autoria
CO:253,CP:2216030,autoria
CD:204550,CP:2216056,autoria
CD:205476,CP:2216076,autoria
CD:204503,CP:2216080,autoria
CD:204520,CP:2216156,autoria
CD:204359,CP:2216158,autoria
CD:204548,CP:2216164,autoria
CD:204371,CP:2216340,autoria
CD:204553,CP:2216376,autoria
CD:73696,CP:2216653,autoria
CD:178953,CP:2216781,autoria
CD:73466,CP:2216794,autoria
CD:204400,CP:2217323,autoria
CD:204359,CP:2217371,autoria
CD:178933,CP:2217440,autoria
CD:160635,CP:2217445,autoria
CD:178954,CP:2217547,autoria
CD:160610,CP:2217561,autoria
CD:204531,CP:2217633,autoria
CD:67138,CP:2217641,autoria
CD:178986,CP:2217702,autoria
CD:178929,CP:2217765,autoria
CD:204460,CP:2217781,autoria
CD:160640,CP:2217784,autoria
CD:139285,CP:2217799,autoria
CD:178989,CP:2217809,autoria
CD:178977,CP:2217834,autoria
CD:204440,CP:2217861,autoria
CO:253,CP:2218078,autoria
CD:193726,CP:2218079,autoria
CD:204383,CP:2218200,autoria
CD:204383,CP:2218208,autoria
CD:178992,CP:2218250,autoria
CD:164360,CP:2218307,autoria
CD:164360,CP:2218309,autoria
CD:204427,CP:2218355,autoria
CD:204416,CP:2218439,autoria
CD:74161,CP:2218523,autoria
CD:122158,CP:2218543,autoria
CD:204517,CP:2218564,autoria
CD:206231,CP:2218881,autoria
CO:253,CP:2218900,autoria
CO:253,CP:2219196,autoria
CO:253,CP:2219197,autoria
CD:204393,CP:2219261,autoria
CD:178997,CP:2219333,autoria
CD:204420,CP:2219380,autoria
CD:81297,CP:2219447,autoria
CD:166402,CP:2219647,autoria
CD:133439,CP:2219649,autoria
CD:204573,CP:2219664,autoria
CD:204474,CP:2219672,autoria
CD:178889,CP:2219676,autoria
CD:204361,CP:2219786,autoria
CD:204430,CP:2219887,autoria
CO:78,CP:2220037,autoria
CD:205865,CP:2220117,autoria
CD:160673,CP:2220121,autoria
CD:90201,CP:2220179,autoria
CD:178989,CP:2220201,autoria
CD:81297,CP:2220226,autoria
CD:204374,CP:2220292,autoria
CD:204394,CP:2220389,autoria
CD:160639,CP:2220578,autoria
CD:178925,CP:2220615,autoria
CD:178912,CP:2220682,autoria
CD:204352,CP:2220701,autoria
CD:204514,CP:2220756,autoria
CD:204440,CP:2220838,autoria
CD:141401,CP:2220903,autoria
CD:204377,CP:2220934,autoria
CD:116379,CP:2220965,autoria
CD:160518,CP:2220991,autoria
CD:74356,CP:2221373,autoria
CD:178908,CP:2221713,autoria
CD:160655,CP:2221721,autoria
CD:204534,CP:2222055,autoria
CD:204421,CP:2222067,autoria
CD:204421,CP:2222070,autoria
CD:204516,CP:2222285,autoria
CD:81297,CP:2222309,autoria
CD:74052,CP:2222776,autoria
CD:178956,CP:2222834,autoria
CD:204450,CP:2222861,autoria
CO:253,CP:2222884,autoria
CD:204472,CP:2222905,autoria
CD:204472,CP:2222910,autoria
CD:204432,CP:2223415,autoria
CD:204523,CP:2223432,autoria
CD:204478,CP:2223551,autoria
CD:206231,CP:2223554,autoria
CD:178939,CP:2223715,autoria
CD:74585,CP:2223766,autoria
CD:204415,CP:2223939,autoria
CD:74366,CP:2223942,autoria
CD:204461,CP:2223951,autoria
CD:198783,CP:2223976,autoria
CO:253,CP:2224067,autoria
CD:204394,CP:2224191,autoria
CD:204458,CP:2224220,autoria
CD:204466,CP:2224225,autoria
CD:160635,CP:2224295,autoria
CD:74052,CP:2224311,autoria
CD:74052,CP:2224315,autoria
CD:162332,CP:2224324,autoria
CD:211866,CP:2224366,autoria
CD:204472,CP:2224607,autoria
CD:204428,CP:2224730,autoria
CD:178881,CP:2224818,autoria
CD:204463,CP:2224953,autoria
CD:68720,CP:2225223,autoria
CD:204544,CP:2225359,autoria
CD:204422,CP:2225387,autoria
CD:178925,CP:2225399,autoria
CO:253,CP:2225435,autoria
CD:178924,CP:2225743,autoria
CD:204559,CP:2225761,autoria
CO:253,CP:2225778,autoria
CD:204450,CP:2225884,autoria
CD:198783,CP:2225892,autoria
CO:253,CP:2225928,autoria
CO:253,CP:2225989,autoria
CD:122974,CP:2226261,autoria
CD:198783,CP:2226588,autoria
